# File ranges are half-open: start <= offset < end.
# type: code, data, text, table, mixed, unknown.
# confidence: confirmed, probable, rough.
start	end	type	confidence	segment	label	notes
0xAD03C	0xAD202	code	confirmed	AD00	ad00-003C	AD00:003C..0202 (454 bytes, traced)
0xAD22C	0xAEA7C	code	confirmed	AD00	ad00-022C	AD00:022C..1A7C (6224 bytes, traced)
0xAEB21	0xAF1CE	code	confirmed	AD00	ad00-1B21	AD00:1B21..21CE (1709 bytes, traced)
0xAF23E	0xAF339	code	confirmed	AD00	ad00-223E	AD00:223E..2339 (251 bytes, traced)
0xC0000	0xC0006	code	confirmed	C000	jump-table	C000:0000..0006 jump stubs.
0xC0029	0xC0763	code	confirmed	C000	c000-0029	C000:0029..0763 (1850 bytes, traced)
0xC084A	0xC09FD	code	confirmed	C000	c000-084A	C000:084A..09FD (435 bytes, traced)
0xC0A32	0xC0AAD	code	confirmed	C000	c000-0A32	C000:0A32..0AAD (123 bytes, traced)
0xC0AE6	0xC0D89	code	confirmed	C000	c000-0AE6	C000:0AE6..0D89 (675 bytes, traced)
0xC0D89	0xC0D93	table	confirmed	C000	sound-sequence-ptrs	5 word pointers to tone sequences (slots 0-4).
0xC0D93	0xC0DBB	data	confirmed	C000	sound-sequence-data	Tone sequence data: (duration, frequency) pairs for 5 slots.
0xC0DC5	0xC0F77	code	confirmed	C000	c000-0DC5	C000:0DC5..0F77 (434 bytes, traced)
0xC0FA2	0xC1228	code	confirmed	C000	c000-0FA2	C000:0FA2..1228 (646 bytes, traced)
0xC1228	0xC12CC	data	confirmed	C000	far-call-table-source	41 far-pointer entries copied to RAM [0200..029C].
0xC12CC	0xC1450	code	confirmed	C000	c000-12CC	C000:12CC..1450 (388 bytes, traced)
0xC14D4	0xC1A00	code	confirmed	C000	c000-14D4	C000:14D4..1A00 (1324 bytes, traced)
0xC14FC	0xC1506	data	confirmed	C000	chord-pattern	F+J+SPACE keyboard chord: 00 08 00 00 80 00 00 00 40 00.
0xC1A00	0xC1A18	table	confirmed	C000	thunk-a-table	Thunk A dispatch table (12 word entries).
0xC1B28	0xC1B6F	code	confirmed	C000	c000-1B28	C000:1B28..1B6F (71 bytes, traced)
0xC1B38	0xC1B50	table	confirmed	C000	thunk-b-table	Thunk B dispatch table (12 word entries).
0xC1D85	0xC1DEA	code	confirmed	C000	c000-1D85	C000:1D85..1DEA (101 bytes, traced)
0xC1E22	0xC1E5D	code	confirmed	C000	c000-1E22	C000:1E22..1E5D (59 bytes, traced)
0xC1F61	0xC1F6C	code	confirmed	C000	c000-1F61	C000:1F61..1F6C (11 bytes, traced)
0xC23CC	0xC23E8	code	confirmed	C000	c000-23CC	C000:23CC..23E8 (28 bytes, traced)
0xC248D	0xC249D	code	confirmed	C000	c000-248D	C000:248D..249D (16 bytes, traced)
0xC2677	0xC26CC	code	confirmed	C000	c000-2677	C000:2677..26CC (85 bytes, traced)
0xC2702	0xC272D	code	confirmed	C000	c000-2702	C000:2702..272D (43 bytes, traced)
0xC2754	0xC2778	code	confirmed	C000	c000-2754	C000:2754..2778 (36 bytes, traced)
0xC2872	0xC28FC	code	confirmed	C000	c000-2872	C000:2872..28FC (138 bytes, traced)
0xC2939	0xC29A5	code	confirmed	C000	c000-2939	C000:2939..29A5 (108 bytes, traced)
0xC2B86	0xC2B90	code	confirmed	C000	c000-2B86	C000:2B86..2B90 (10 bytes, traced)
0xC2DD5	0xC2FE0	code	confirmed	C000	c000-2DD5	C000:2DD5..2FE0 (523 bytes, traced)
0xC30D1	0xC3595	code	confirmed	C000	c000-30D1	C000:30D1..3595 (1220 bytes, traced)
0xC3AE3	0xC3CC6	code	confirmed	C000	c000-3AE3	C000:3AE3..3CC6 (483 bytes, traced)
0xC3CEB	0xC3E5C	code	confirmed	C000	c000-3CEB	C000:3CEB..3E5C (369 bytes, traced)
0xC3887	0xC3A67	data	confirmed	C000	keyboard-translation-rom	480 bytes copied to RAM [1126] by C000:3ED4. 6 keyboard layout tables (80 bytes each): unshifted, shifted, caps, caps+shift, alt, control.
0xC3927	0xC3977	data	confirmed	C000	keyboard-mapping-rom	80 bytes copied to RAM [1643] by C000:3EBB. Key code mapping table.
0xC3EAC	0xC61DF	code	confirmed	C000	c000-3EAC	C000:3EAC..61DF (9011 bytes, traced)
0xC61DF	0xC623F	table	confirmed	C000	int21-validity	Byte map AH (00..5F) to dispatch slot. 0xFF=unsupported.
0xC623F	0xC6277	table	confirmed	C000	int21-dispatch	Word table of handler offsets indexed by validity slot.
0xC62F6	0xC64E8	code	confirmed	C000	c000-62F6	C000:62F6..64E8 (498 bytes, traced)
0xC6523	0xC6865	code	confirmed	C000	c000-6523	C000:6523..6865 (834 bytes, traced)
0xC6865	0xC68A5	table	confirmed	C000	disp-cmd-table	Display command dispatch (32 word entries for FF xx).
0xC68A5	0xC6BCF	code	confirmed	C000	c000-68A5	C000:68A5..6BCF (810 bytes, traced)
0xC6BF6	0xC6C06	code	confirmed	C000	c000-6BF6	C000:6BF6..6C06 (16 bytes, traced)
0xC6CA7	0xC6CD7	code	confirmed	C000	c000-6CA7	C000:6CA7..6CD7 (48 bytes, traced)
0xC6E55	0xC6E7D	code	confirmed	C000	c000-6E55	C000:6E55..6E7D (40 bytes, traced)
